model,tuned,feature_num,baseline,accuracy,improvement,cv_std,tuning_params,cv_scores
dt,1,3,0.75754,0.78212,0.02458,0.02914,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,4,0.75754,0.79218,0.03464,0.01024,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.78212291, 0.81005587, 0.78212291]"
dt,1,5,0.75754,0.79106,0.03351,0.01922,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,6,0.75754,0.79106,0.03351,0.01922,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,7,0.75754,0.79106,0.03351,0.01922,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_leaf_nodes': 100, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,8,0.75754,0.79106,0.03351,0.01922,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,9,0.75754,0.79218,0.03464,0.01024,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.78212291, 0.81005587, 0.78212291]"
dt,1,10,0.75754,0.8067,0.04915,0.02279,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}","[0.80446927, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
xgb,1,1,0.78547,0.80782,0.02234,0.01642,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}","[0.81005587, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
xgb,1,2,0.78547,0.78659,0.00112,0.01556,"{'tree_method': 'auto', 'subsample': 1.0, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 1.0, 'booster': 'gbtree'}","[0.78770950, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
xgb,1,3,0.78547,0.79106,0.00558,0.01922,"{'tree_method': 'auto', 'subsample': 1.0, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 1.0, 'booster': 'gbtree'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,4,0.78547,0.79888,0.01341,0.00999,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}","[0.80446927, 0.79329609, 0.80446927, 0.81005587, 0.78212291]"
xgb,1,5,0.78547,0.79218,0.0067,0.01948,"{'tree_method': 'auto', 'subsample': 0.6, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.77653631, 0.79329609, 0.77094972, 0.82681564, 0.79329609]"
xgb,1,6,0.78547,0.79106,0.00558,0.01922,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,7,0.78547,0.79106,0.00558,0.01922,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,8,0.78547,0.79106,0.00558,0.01922,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,9,0.78547,0.80223,0.01675,0.01482,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}","[0.80446927, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
xgb,1,10,0.78547,0.8,0.01453,0.01849,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
rf,1,1,0.79106,0.80335,0.01229,0.01815,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}","[0.78770950, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
rf,1,2,0.79106,0.77095,-0.0201,0.02782,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': True}","[0.77653631, 0.76536313, 0.74301676, 0.82122905, 0.74860335]"
rf,1,3,0.79106,0.78212,-0.00893,0.02644,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}","[0.79329609, 0.77094972, 0.74860335, 0.82681564, 0.77094972]"
rf,1,4,0.79106,0.8,0.00894,0.02582,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
rf,1,5,0.79106,0.79777,0.0067,0.01815,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.78212291, 0.78770950, 0.78770950, 0.83240223, 0.79888268]"
rf,1,6,0.79106,0.79106,0.0,0.01922,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,1,7,0.79106,0.79106,0.0,0.01922,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,1,8,0.79106,0.7933,0.00224,0.0209,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78770950, 0.78212291, 0.83240223, 0.77094972]"
rf,1,9,0.79106,0.79888,0.00782,0.0262,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.78770950, 0.77653631, 0.84916201, 0.78212291]"
rf,1,10,0.79106,0.80559,0.01453,0.02301,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
lgbm,1,1,0.78994,0.80223,0.01229,0.01036,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'dart'}","[0.79329609, 0.79329609, 0.79888268, 0.82122905, 0.80446927]"
lgbm,1,2,0.78994,0.78436,-0.00558,0.02017,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.78212291, 0.77653631, 0.78212291, 0.82122905, 0.75977654]"
lgbm,1,3,0.78994,0.78324,-0.00669,0.02746,"{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': 15, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0, 'class_weight': None, 'boosting_type': 'dart'}","[0.79329609, 0.78212291, 0.74301676, 0.82681564, 0.77094972]"
lgbm,1,4,0.78994,0.79441,0.00446,0.00741,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'dart'}","[0.79888268, 0.79329609, 0.80446927, 0.79329609, 0.78212291]"
lgbm,1,5,0.78994,0.78994,0.0,0.02969,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.75977654, 0.77094972, 0.79888268, 0.84357542, 0.77653631]"
lgbm,1,6,0.78994,0.79106,0.00112,0.01922,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,7,0.78994,0.79106,0.00112,0.01922,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,8,0.78994,0.79106,0.00112,0.01922,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,9,0.78994,0.79441,0.00446,0.00741,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'dart'}","[0.79888268, 0.79329609, 0.80446927, 0.79329609, 0.78212291]"
lgbm,1,10,0.78994,0.80559,0.01565,0.02301,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
cb,1,1,0.81006,0.81006,0.0,0.02827,"{'scale_pos_weight': 1, 'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 300, 'grow_policy': 'Depthwise', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.7}","[0.79329609, 0.79329609, 0.80446927, 0.86592179, 0.79329609]"
cb,1,2,0.81006,0.76201,-0.04805,0.02488,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.75418994, 0.75977654, 0.74301676, 0.81005587, 0.74301676]"
cb,1,3,0.81006,0.77877,-0.03129,0.03112,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 600, 'grow_policy': 'SymmetricTree', 'depth': 6, 'border_count': 32, 'bootstrap_type': 'MVS', 'bagging_temperature': 1}","[0.79329609, 0.77094972, 0.73184358, 0.82681564, 0.77094972]"
cb,1,4,0.81006,0.79553,-0.01453,0.01752,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,1,5,0.81006,0.79665,-0.01341,0.01564,"{'scale_pos_weight': 1, 'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 300, 'grow_policy': 'Depthwise', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.7}","[0.78212291, 0.79329609, 0.78770950, 0.82681564, 0.79329609]"
cb,1,6,0.81006,0.79106,-0.019,0.01922,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,1,7,0.81006,0.79106,-0.019,0.01922,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,1,8,0.81006,0.7933,-0.01675,0.0209,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79329609, 0.78770950, 0.78212291, 0.83240223, 0.77094972]"
cb,1,9,0.81006,0.79553,-0.01453,0.01752,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
