model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,0,"4, 10",0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"4, 11",0.81006,0.80447,0.02782,-0.00558,,"[0.79888268, 0.77653631, 0.81005587, 0.85474860, 0.78212291]"
cb,0,"5, 6",0.81006,0.79777,0.03088,-0.01229,,"[0.77653631, 0.79888268, 0.79329609, 0.85474860, 0.76536313]"
cb,0,"5, 7",0.81006,0.79553,0.0236,-0.01453,,"[0.78212291, 0.80446927, 0.77653631, 0.83798883, 0.77653631]"
cb,0,"5, 8",0.81006,0.80223,0.03112,-0.00783,,"[0.79329609, 0.80446927, 0.77094972, 0.86033520, 0.78212291]"
cb,0,"5, 9",0.81006,0.81341,0.02488,0.00334,,"[0.79329609, 0.81564246, 0.80446927, 0.86033520, 0.79329609]"
cb,0,"5, 10",0.81006,0.79665,0.0236,-0.01341,,"[0.79329609, 0.79888268, 0.78770950, 0.83798883, 0.76536313]"
cb,0,"5, 11",0.81006,0.79106,0.02705,-0.019,,"[0.77094972, 0.78770950, 0.78212291, 0.84357542, 0.77094972]"
cb,0,"6, 7",0.81006,0.78994,0.02463,-0.02012,,"[0.79888268, 0.78212291, 0.77653631, 0.83240223, 0.75977654]"
cb,0,"6, 8",0.81006,0.8,0.0263,-0.01005,,"[0.80446927, 0.78770950, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"6, 9",0.81006,0.8067,0.02563,-0.00336,,"[0.80446927, 0.78770950, 0.80446927, 0.85474860, 0.78212291]"
cb,0,"6, 10",0.81006,0.78994,0.02463,-0.02012,,"[0.79888268, 0.78212291, 0.77653631, 0.83240223, 0.75977654]"
cb,0,"6, 11",0.81006,0.78994,0.0236,-0.02012,,"[0.78770950, 0.76536313, 0.79329609, 0.83240223, 0.77094972]"
cb,0,"7, 8",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"7, 9",0.81006,0.80112,0.01482,-0.00893,,"[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
cb,0,"7, 10",0.81006,0.79106,0.01922,-0.019,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,0,"7, 11",0.81006,0.78883,0.02354,-0.02122,,"[0.78770950, 0.76536313, 0.78770950, 0.83240223, 0.77094972]"
cb,0,"8, 9",0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"8, 10",0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"8, 11",0.81006,0.80447,0.02782,-0.00558,,"[0.79888268, 0.77653631, 0.81005587, 0.85474860, 0.78212291]"
cb,0,"9, 10",0.81006,0.80559,0.02301,-0.00446,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
cb,0,"9, 11",0.81006,0.8067,0.02796,-0.00336,,"[0.80446927, 0.77653631, 0.81564246, 0.85474860, 0.78212291]"
cb,0,"10, 11",0.81006,0.78994,0.02412,-0.02012,,"[0.78212291, 0.76536313, 0.79888268, 0.83240223, 0.77094972]"
cb,0,"1, 2, 3",0.81006,0.7933,0.02691,-0.01675,,"[0.79329609, 0.76536313, 0.78770950, 0.84357542, 0.77653631]"
cb,0,"1, 2, 4",0.81006,0.80112,0.02463,-0.00893,,"[0.79888268, 0.78212291, 0.78770950, 0.84916201, 0.78770950]"
cb,0,"1, 2, 5",0.81006,0.79553,0.02251,-0.01453,,"[0.80446927, 0.79329609, 0.76536313, 0.83240223, 0.78212291]"
cb,0,"1, 2, 6",0.81006,0.78659,0.03522,-0.02346,,"[0.79329609, 0.74301676, 0.77653631, 0.84916201, 0.77094972]"
cb,0,"1, 2, 7",0.81006,0.7933,0.0262,-0.01675,,"[0.79329609, 0.77094972, 0.78212291, 0.84357542, 0.77653631]"
cb,0,"1, 2, 8",0.81006,0.79888,0.02344,-0.01117,,"[0.79888268, 0.77653631, 0.78770950, 0.84357542, 0.78770950]"
cb,0,"1, 2, 9",0.81006,0.79441,0.02901,-0.01565,,"[0.79329609, 0.76536313, 0.78770950, 0.84916201, 0.77653631]"
cb,0,"1, 2, 10",0.81006,0.7933,0.0262,-0.01675,,"[0.79329609, 0.77094972, 0.78212291, 0.84357542, 0.77653631]"
cb,0,"1, 2, 11",0.81006,0.79777,0.02102,-0.01229,,"[0.79888268, 0.78212291, 0.78770950, 0.83798883, 0.78212291]"
cb,0,"1, 3, 4",0.81006,0.79665,0.03231,-0.01341,,"[0.78770950, 0.78212291, 0.77094972, 0.86033520, 0.78212291]"
cb,0,"1, 3, 5",0.81006,0.8,0.03626,-0.01005,,"[0.77653631, 0.80446927, 0.75977654, 0.86592179, 0.79329609]"
cb,0,"1, 3, 6",0.81006,0.7933,0.03139,-0.01675,,"[0.78770950, 0.77094972, 0.77094972, 0.85474860, 0.78212291]"
cb,0,"1, 3, 7",0.81006,0.80112,0.02751,-0.00893,,"[0.79329609, 0.77653631, 0.78770950, 0.85474860, 0.79329609]"
cb,0,"1, 3, 8",0.81006,0.80112,0.02751,-0.00893,,"[0.78770950, 0.79329609, 0.77653631, 0.85474860, 0.79329609]"
cb,0,"1, 3, 9",0.81006,0.80112,0.02751,-0.00893,,"[0.79329609, 0.77653631, 0.78770950, 0.85474860, 0.79329609]"
cb,0,"1, 3, 10",0.81006,0.80223,0.02969,-0.00783,,"[0.79329609, 0.77653631, 0.78770950, 0.86033520, 0.79329609]"
cb,0,"1, 3, 11",0.81006,0.80447,0.0262,-0.00558,,"[0.80446927, 0.78212291, 0.79329609, 0.85474860, 0.78770950]"
cb,0,"1, 4, 5",0.81006,0.79665,0.03508,-0.01341,,"[0.77094972, 0.78770950, 0.78212291, 0.86592179, 0.77653631]"
cb,0,"1, 4, 6",0.81006,0.79441,0.03108,-0.01565,,"[0.78212291, 0.78770950, 0.76536313, 0.85474860, 0.78212291]"
cb,0,"1, 4, 7",0.81006,0.79888,0.01836,-0.01117,,"[0.79888268, 0.79329609, 0.77653631, 0.83240223, 0.79329609]"
